created_at,entry_id,field1,field2
2022-10-07 06:32:41 UTC,13657320,0.000000,0.000000
2022-10-07 06:32:56 UTC,13657321,0.000000,0.000000
2022-10-07 06:33:12 UTC,13657322,3.000000,2.000000
2022-10-07 06:33:27 UTC,13657323,0.000000,0.000000
2022-10-07 06:33:42 UTC,13657324,0.000000,0.000000
2022-10-07 06:33:57 UTC,13657325,2.000000,0.000000
2022-10-07 06:34:13 UTC,13657326,0.000000,0.000000
2022-10-07 06:34:29 UTC,13657327,0.000000,0.000000
2022-10-07 06:34:45 UTC,13657328,0.000000,0.000000
2022-10-07 06:35:00 UTC,13657329,0.000000,0.000000
2022-10-07 06:35:15 UTC,13657330,0.000000,0.000000
2022-10-07 06:35:31 UTC,13657331,0.000000,0.000000
2022-10-07 06:35:46 UTC,13657332,3.000000,0.000000
2022-10-07 06:36:02 UTC,13657333,0.000000,0.000000
2022-10-07 06:36:18 UTC,13657334,0.000000,0.000000
2022-10-07 06:36:33 UTC,13657335,0.000000,0.000000
2022-10-07 06:36:48 UTC,13657336,0.000000,0.000000
2022-10-07 06:37:03 UTC,13657337,1.000000,1.000000
2022-10-07 06:37:18 UTC,13657338,0.000000,0.000000
2022-10-07 06:37:33 UTC,13657339,0.000000,3.000000
2022-10-07 06:37:49 UTC,13657340,1.000000,3.000000
2022-10-07 06:38:04 UTC,13657341,2.000000,0.000000
2022-10-07 06:38:20 UTC,13657342,0.000000,0.000000
2022-10-07 06:38:35 UTC,13657343,2.000000,0.000000
2022-10-07 06:38:51 UTC,13657344,0.000000,0.000000
2022-10-07 06:39:06 UTC,13657345,0.000000,0.000000
2022-10-07 06:39:21 UTC,13657346,0.000000,2.000000
2022-10-07 06:39:36 UTC,13657347,0.000000,0.000000
2022-10-07 06:39:52 UTC,13657348,0.000000,0.000000
2022-10-07 06:40:07 UTC,13657349,0.000000,0.000000
2022-10-07 06:40:23 UTC,13657350,0.000000,0.000000
2022-10-07 06:40:38 UTC,13657351,1.000000,3.000000
2022-10-07 06:40:54 UTC,13657352,0.000000,0.000000
2022-10-07 06:41:09 UTC,13657353,0.000000,0.000000
2022-10-07 06:41:25 UTC,13657354,0.000000,0.000000
2022-10-07 06:41:40 UTC,13657355,0.000000,0.000000
2022-10-07 06:41:56 UTC,13657356,0.000000,3.000000
2022-10-07 06:42:12 UTC,13657357,0.000000,0.000000
2022-10-07 06:42:27 UTC,13657358,0.000000,0.000000
2022-10-07 06:42:43 UTC,13657359,1.000000,4.000000
2022-10-07 06:42:58 UTC,13657360,0.000000,0.000000
2022-10-07 06:43:14 UTC,13657361,0.000000,3.000000
2022-10-07 06:43:30 UTC,13657362,0.000000,2.000000
2022-10-07 06:43:45 UTC,13657363,0.000000,0.000000
2022-10-07 06:44:01 UTC,13657364,0.000000,4.000000
2022-10-07 06:44:16 UTC,13657365,2.000000,4.000000
2022-10-07 06:44:32 UTC,13657366,0.000000,0.000000
2022-10-07 06:44:48 UTC,13657367,0.000000,2.000000
2022-10-07 06:45:03 UTC,13657368,0.000000,0.000000
2022-10-07 06:45:18 UTC,13657369,0.000000,0.000000
2022-10-07 06:45:34 UTC,13657370,0.000000,0.000000
2022-10-07 06:45:50 UTC,13657371,0.000000,0.000000
2022-10-07 06:46:06 UTC,13657372,0.000000,0.000000
2022-10-07 06:46:21 UTC,13657373,0.000000,0.000000
2022-10-07 06:46:37 UTC,13657374,0.000000,0.000000
2022-10-07 06:46:53 UTC,13657375,2.000000,0.000000
2022-10-07 06:47:08 UTC,13657376,0.000000,0.000000
2022-10-07 06:47:24 UTC,13657377,0.000000,0.000000
2022-10-07 06:47:40 UTC,13657378,0.000000,0.000000
2022-10-07 06:47:56 UTC,13657379,1.000000,4.000000
2022-10-07 06:48:12 UTC,13657380,0.000000,0.000000
2022-10-07 06:48:28 UTC,13657381,0.000000,0.000000
2022-10-07 06:48:43 UTC,13657382,0.000000,0.000000
2022-10-07 06:48:59 UTC,13657383,0.000000,0.000000
2022-10-07 06:49:15 UTC,13657384,0.000000,0.000000
2022-10-07 06:49:30 UTC,13657385,1.000000,2.000000
2022-10-07 06:49:46 UTC,13657386,0.000000,0.000000
2022-10-07 06:50:01 UTC,13657387,0.000000,0.000000
2022-10-07 06:50:17 UTC,13657388,1.000000,0.000000
2022-10-07 06:50:33 UTC,13657389,0.000000,0.000000
2022-10-07 06:50:48 UTC,13657390,0.000000,0.000000
2022-10-07 06:51:04 UTC,13657391,2.000000,0.000000
2022-10-07 06:51:19 UTC,13657392,2.000000,0.000000
2022-10-07 06:51:34 UTC,13657393,0.000000,0.000000
2022-10-07 06:51:50 UTC,13657394,1.000000,0.000000
2022-10-07 06:52:05 UTC,13657395,1.000000,2.000000
2022-10-07 06:52:20 UTC,13657396,2.000000,0.000000
2022-10-07 06:52:36 UTC,13657397,0.000000,0.000000
2022-10-07 06:52:52 UTC,13657398,0.000000,0.000000
2022-10-07 06:53:07 UTC,13657399,0.000000,0.000000
2022-10-07 06:53:23 UTC,13657400,2.000000,0.000000
2022-10-07 06:53:38 UTC,13657401,0.000000,0.000000
2022-10-07 06:53:54 UTC,13657402,0.000000,0.000000
2022-10-07 06:54:10 UTC,13657403,0.000000,0.000000
2022-10-07 06:54:26 UTC,13657404,0.000000,0.000000
2022-10-07 06:54:42 UTC,13657405,0.000000,0.000000
2022-10-07 06:54:57 UTC,13657406,0.000000,0.000000
2022-10-07 06:55:13 UTC,13657407,0.000000,0.000000
2022-10-07 06:55:29 UTC,13657408,0.000000,3.000000
2022-10-07 06:55:44 UTC,13657409,0.000000,2.000000
2022-10-07 06:55:59 UTC,13657410,1.000000,0.000000
2022-10-07 06:56:15 UTC,13657411,2.000000,0.000000
2022-10-07 06:56:31 UTC,13657412,5.000000,0.000000
2022-10-07 06:56:47 UTC,13657413,0.000000,0.000000
2022-10-07 06:57:02 UTC,13657414,0.000000,0.000000
2022-10-07 06:57:17 UTC,13657415,3.000000,0.000000
2022-10-07 06:57:33 UTC,13657416,1.000000,3.000000
2022-10-07 06:57:48 UTC,13657417,0.000000,0.000000
2022-10-07 06:58:04 UTC,13657418,0.000000,3.000000
2022-10-07 06:58:20 UTC,13657419,2.000000,0.000000
